Aula,Horario
PCO114_90_B,SEX_T1
PCO114_90_A,TER_T3
CRSC05_61_A,QUA_T2
CRSC05_61_B,SEG_M1
LET007_97_A,QUA_M2
XDES11_37_A,QUA_T3
XPAD09_43_A,SEG_M4
XDES11_37_B,QUA_M1
XPAD09_43_B,QUI_T1
XAHC07_87_A,QUI_M2
XAHC07_87_B,SEX_M3
PCO202_50_B,SEG_M3
PCO202_50_A,QUI_M4
PCO203_53_A,SEX_T3
PCO113_92_A,TER_M3
PCO113_92_B,TER_M4
XDES04_5_A,SEX_M1
PCO203_53_B,SEG_T2
XMAC02_9_B,TER_M3
XDES04_5_B,SEX_M3
XMAC02_9_A,TER_T2
CMCO07_39_B,QUA_T3
MAT00B_94_B,SEG_T3
MAT001_98_B,SEG_T1
MAT001_98_A,SEG_M4
MAT00B_94_A,SEX_T3
CMCO07_39_A,QUA_M4
MAT001_98_C,SEG_M1
XDES10_84_A,QUI_M1
XDES10_84_B,QUA_M4
PCO202_91_B,SEX_M3
SPAD05_85_B,QUI_M3
PCO202_91_A,SEX_T2
SPAD05_85_A,TER_M4
CDES05_60_A,QUI_T2
CDES05_60_B,QUA_T3
CCO016_34_B,QUA_T3
CCO016_34_A,SEG_M2
CCO016_78_A,TER_M2
ADM54H_96_A,SEX_M4
CRSC02_7_B,TER_T3
CMAC03_8_B,QUA_M3
XMCO01_13_B,SEG_T2
CRSC02_7_A,QUA_M4
CTCO02_6_B,QUA_M1
CMAC03_8_A,SEG_M4
CCO016_78_B,SEX_M2
CRSC03_1_B,SEG_T1
XMCO01_13_A,QUI_T2
XDES01_0_A,SEG_M1
XDES01_0_B,SEX_T3
XPAD01_12_A,SEG_M4
XPAD01_12_B,QUI_M2
CTCO02_6_A,QUA_T2
CTCO06_63_A,SEX_T2
CRSC03_1_A,SEX_T1
CTCO06_63_B,QUI_T1
XDES17_89_A,TER_M1
MAT021_99_B,SEG_M3
CMCO07_83_B,SEX_M2
CMCO07_83_A,SEX_M1
SADG01_42_B,QUI_T1
SADG01_42_A,TER_T1
XDES17_89_B,QUA_M1
XDES16_48_B,SEG_T1
SADG02_36_B,QUI_M4
MAT021_99_A,SEG_T1
XDES16_48_A,SEX_M1
SADG02_36_A,QUA_T1
CAHC04_3_A,SEG_T2
SDES07_41_B,TER_M4
SDES07_41_A,SEX_T1
PCO117_51_A,SEG_M2
PCO117_51_B,TER_M2
CCO016_33_B,TER_M3
XDES12_88_B,SEX_T3
CCO016_31_A,TER_M1
XRSC01_59_A,QUI_T3
XDES12_88_A,SEG_T1
CCO016_35_A,SEX_T3
CCO016_33_A,TER_T3
XDES03_57_A,QUA_M3
CCO016_31_B,QUA_T1
?_44_B,QUI_M1
XDES02_4_B,QUI_M4
?_44_A,TER_T3
XPAD04_47_A,SEG_M1
CCO016_79_B,QUI_M4
XDES03_57_B,QUA_M4
CCO016_35_B,QUA_M1
CCO016_79_A,SEG_M3
XPAD04_47_B,QUI_M1
XDES02_4_A,QUI_T1
XRSC01_59_B,SEG_T1
CTCO04_58_B,SEG_T2
CMCO05_14_A,QUA_M3
CMCO05_14_B,TER_M3
CTCO04_58_A,QUI_M3
XDES04_66_B,TER_N3
SDES05_40_A,SEX_M1
CTCO01_54_B,QUA_M2
SDES05_40_B,SEG_M2
XDES04_66_A,QUI_N2
CTCO01_54_A,SEG_T3
SMAC03_71_B,QUI_N3
XDES11_82_A,QUA_M3
SMAC03_71_A,TER_N1
XDES11_82_B,TER_T1
XAHC01_76_A,QUA_N3
CCO016_32_B,QUA_T2
XAHC01_76_B,QUI_N4
XMCO09_81_A,QUA_T1
CCO016_32_A,QUA_M3
XMCO09_81_B,QUI_T1
ADM03E_104_A,SEX_N4
PCO209_49_B,QUA_M3
PCO209_49_A,SEG_T3
CTCO03_11_B,QUA_M2
ECOX21_86_A,TER_M2
CTCO05_10_B,QUI_T1
CTCO05_10_A,TER_T3
CTCO03_11_A,SEX_M4
CRSC04_55_A,TER_M2
CRSC04_55_B,SEX_M2
XAHC01_15_B,TER_M2
XAHC01_15_A,QUA_M3
STCO01_67_B,SEG_N2
STCO01_67_A,SEX_N2
SIN414_30_A,QUA_N4
SPAD02_24_B,QUA_N3
CMAC05_62_B,QUI_T1
XMAC01_2_B,QUI_T3
SPAD02_24_A,SEX_N4
CMAC05_62_A,QUI_M4
SDES07_75_A,SEG_N4
XMAC01_2_A,QUA_T3
XAHC02_28_B,QUI_N3
IEPG10_102_A,TER_N4
XAHC02_64_A,QUI_T3
SDES07_75_B,QUI_N3
IEPG21_95_A,SEX_M3
XAHC02_28_A,QUI_N1
SRSC02_72_B,QUA_N1
PCO114_52_A,QUI_M3
SRSC02_72_A,SEG_N2
SIN310_105_A,SEX_N2
XMCO01_74_B,SEG_N3
CMAC04_56_B,SEG_M2
CMAC04_56_A,SEX_M4
XAHC02_64_B,SEG_T3
SPAD03_25_B,TER_N2
CCO016_80_A,SEX_T1
SPAD03_25_A,TER_N4
XMCO01_74_A,SEX_N2
CCO016_80_B,QUA_M4
IEPG14_101_A,SEX_N4
MAT007_103_A,TER_N3
SIN310_105_B,QUI_N3
PCO114_52_B,QUA_T3
MAT007_103_B,SEG_N4
XDES02_65_A,QUA_N3
XDES03_20_B,SEX_N2
XDES03_20_A,TER_N1
XMAC02_70_B,TER_N2
XMAC02_70_A,TER_N3
STCO02_22_B,QUI_N2
XPAD01_69_A,SEG_N1
STCO02_22_A,QUI_N1
SDES05_21_B,QUI_N4
XDES02_65_B,SEG_N1
SDES05_21_A,QUA_N1
XPAD01_69_B,SEX_N4
PCO003_93_A,QUA_M1
XRSC08_46_A,QUA_M1
SAHC04_18_A,SEG_N4
SADG01_29_A,QUI_N2
SADG01_29_B,TER_N4
XRSC08_46_B,SEG_T1
XRSCO9_45_B,SEX_T3
SDES07_27_A,SEX_N1
XRSCO9_45_A,QUA_T2
SDES07_27_B,QUA_N3
SAHC05_19_B,SEX_N4
SDES06_73_A,SEG_N1
SAHC05_19_A,SEG_N3
XRSC07_38_B,SEX_M1
XMAC01_68_B,TER_N2
SDES06_73_B,QUI_N3
XRSC07_38_A,QUA_T2
XRSC01_26_B,QUI_N2
XDES01_17_A,QUI_N2
XRSC01_26_A,QUI_N1
XDES01_17_B,SEX_N1
SRSC03_23_B,TER_N2
XMAC01_68_A,QUI_N3
XAHC03_77_A,TER_N2
SRSC03_23_A,SEG_N1
XAHC03_16_A,SEX_M1
XAHC03_16_B,SEG_M4
XAHC03_77_B,QUA_N1
IEPG04_100_A,QUA_N1
